# \eta,     df_d\eta,   \eta * df_d\eta - f
0.00000E+00,0.00000E+00,0.00000E+00
0.14142E+00,0.46960E-01,0.33177E-02
0.28284E+00,0.93910E-01,0.13282E-01
0.42426E+00,0.14081E+00,0.29858E-01
0.56569E+00,0.18761E+00,0.53025E-01
0.70711E+00,0.23423E+00,0.82696E-01
0.84853E+00,0.28058E+00,0.11873E+00
0.98995E+00,0.32653E+00,0.16098E+00
0.11314E+01,0.37196E+00,0.20916E+00
0.12728E+01,0.41672E+00,0.26296E+00
0.14142E+01,0.46063E+00,0.32193E+00
0.15556E+01,0.50354E+00,0.38563E+00
0.16971E+01,0.54525E+00,0.45345E+00
0.18385E+01,0.58559E+00,0.52475E+00
0.19799E+01,0.62439E+00,0.59881E+00
0.21213E+01,0.66147E+00,0.67483E+00
0.22627E+01,0.69670E+00,0.75202E+00
0.24042E+01,0.72993E+00,0.82955E+00
0.25456E+01,0.76106E+00,0.90656E+00
0.26870E+01,0.79000E+00,0.98226E+00
0.28284E+01,0.81669E+00,0.10558E+01
0.31113E+01,0.86330E+00,0.11940E+01
0.33941E+01,0.90107E+00,0.13167E+01
0.36770E+01,0.93060E+00,0.14209E+01
0.39598E+01,0.95288E+00,0.15051E+01
0.42426E+01,0.96905E+00,0.15720E+01
0.45255E+01,0.98037E+00,0.16215E+01
0.48083E+01,0.98797E+00,0.16569E+01
0.50912E+01,0.99289E+00,0.16812E+01
0.53740E+01,0.99594E+00,0.16972E+01
0.56569E+01,0.99777E+00,0.17072E+01
0.59397E+01,0.99882E+00,0.17133E+01
0.62225E+01,0.99940E+00,0.17168E+01
0.65054E+01,0.99970E+00,0.17187E+01
0.67882E+01,0.99986E+00,0.17198E+01
0.70711E+01,0.99994E+00,0.17203E+01
0.73539E+01,0.99997E+00,0.17206E+01
0.76368E+01,0.99999E+00,0.17207E+01
0.79196E+01,0.99999E+00,0.17207E+01
0.82024E+01,0.10000E+01,0.17208E+01
0.84853E+01,0.10000E+01,0.17208E+01
0.88888E+01,0.10000E+01,0.17208E+01
1.00000E+01,0.10000E+01,0.17208E+01
2.00000E+01,0.10000E+01,0.17208E+01
